,url,name,price estimation,time prep,time cook,time rest,kcal per portion,ingredients,quantities,,,,,,,,,,,,,,,,,,,,,,,,
0,https://jow.fr/recipes/yakitori-boeuf-fromage-7uzl5jb10nu803dg01y2,Yakitori bœuf fromage,+4 € par portion,10 minutes,10 minutes,0 minutes,818 kcal,['Bœuf (carpaccio)', 'Emmental', 'Sauce Teriyaki', 'Riz', 'Pics à brochette'],['80 g', '100 g', '1 càs', '70 g', '6  '],,,,,,,,,,,,,,,,
1,https://jow.fr/recipes/gnocchis-epinards-gorgonzola-7v1aiv9f5ycw03fq02qx,Gnocchis Epinards Gorgonzola ,2 € et 4 € par portion,2 minutes,5 minutes,0 minutes,624 kcal,['Gnocchi', 'Épinard (frais)', 'Gorgonzola', 'Crème liquide'],['150 g', '100 g', '30 g', '5 cl'],,,,,,,,,,,,,,,,,,
2,https://jow.fr/recipes/dahl-de-lentilles-corail-7ve6ie0parb403dj0nsk,Dahl de lentilles corail,-2 € par portion,5 minutes,20 minutes,0 minutes,639 kcal,['Lentilles corail', 'Tomate (chair)', 'Lait de coco', 'Ail', 'Oignon jaune', 'Curry (poudre)', 'Carotte (frais)', 'Riz'],['50 g', '80 g', '5 cl', '1/2 gou.', '1/2  ', '1 càc', '1/2  ', '70 g'],,,,,,,,,,
3,https://jow.fr/recipes/veggie-lasagna-7vgj14mfb7kw03qm0u73,Veggie lasagna,2 € et 4 € par portion,10 minutes,50 minutes,0 minutes,470 kcal,['Lasagnes (cru)', 'Courgette', 'Tomate (purée)', 'Champignons de Paris (frais)', 'Mozzarella (boule)'],['50 g', '150 g', '150 g', '80 g', '1/2  '],,,,,,,,,,,,,,,,
4,https://jow.fr/recipes/pasta-alla-carbonara-7vkmjgzi5t8003pn0drm,Pasta alla carbonara,2 € et 4 € par portion,6 minutes,9 minutes,0 minutes,721 kcal,['Pâtes (spaghetti)', 'Pancetta', 'Œuf', 'Parmesan (morceaux)'],['100 g', '3 tran.', '1  ', '40 g'],,,,,,,,,,,,,,,,,,
6,https://jow.fr/recipes/flammekueeche-7w0xjarj6dds03ou0ngz,Flammeküeche,-2 € par portion,7 minutes,12 minutes,0 minutes,669 kcal,['Pâte à pizza', 'Fromage blanc', 'Crème fraîche', 'Lardons', 'Oignon jaune'],['1  ', '3 càs', '3 càs', '100 g', '1  '],,,,,,,,,,,,,,,,
7,https://jow.fr/recipes/chili-con-carne-7w24ab9oivfk03mz13x0,Chili con carne,2 € et 4 € par portion,5 minutes,17 minutes,0 minutes,717 kcal,['Bœuf (haché)', 'Tomate (chair)', 'Origan (séché)', 'Haricots rouges (cuits)', 'Tabasco', 'Oignon rouge', 'Chili (épices)', 'Riz', 'Crème fraîche', 'Coriandre (frais)'],['100 g', '100 g', '1 pinc.', '100 g', '1/2 càc', '1/4  ', '1 càc', '70 g', '1 càs', '1/10 bou.'],,,,,,
8,https://jow.fr/recipes/les-classiques-coquillettes-au-jambon-7w9qimf8htq803qe0sh7,Les classiques coquillettes au jambon,-2 € par portion,,7 minutes,0 minutes,471 kcal,['Pâtes (coquillettes)', 'Jambon blanc'],['100 g', '1 tran.'],,,,,,,,,,,,,,,,,,,,,,
9,https://jow.fr/recipes/knack-et-puree-7w9r15achtq803qe0si6,Knack & purée,-2 € par portion,5 minutes,15 minutes,0 minutes,553 kcal,['Pommes de terre', 'Saucisse knack (porc)', 'Lait', 'Beurre'],['250 g', '2  ', '5 cl', '20 g'],,,,,,,,,,,,,,,,,,
10,https://jow.fr/recipes/tartiflette-express-7wp5ckwt2dxs043u07v3,Tartiflette express,2 € et 4 € par portion,7 minutes,35 minutes,0 minutes,794 kcal,['Reblochon', 'Pommes de terre', 'Lardons', 'Oignon jaune', 'Vin blanc', 'Crème fraîche'],['100 g', '250 g', '50 g', '1/2  ', '2 cl', '1 càs'],,,,,,,,,,,,,,
11,https://jow.fr/recipes/raclette-7x1fjkbom6s0044q10lr,Raclette,+4 € par portion,4 minutes,35 minutes,0 minutes,1225 kcal,['Raclette', 'Pommes de terre', 'Jambon blanc', 'Jambon cru', 'Cornichon', 'Rosette'],['200 g', '250 g', '2 tran.', '2 tran.', '20 g', '4 tran.'],,,,,,,,,,,,,,
12,https://jow.fr/recipes/fish-et-chips-7xji9n21bgi803zh0g81,Fish & chips,2 € et 4 € par portion,5 minutes,20 minutes,0 minutes,1120 kcal,['Cabillaud (surgelé)', 'Farine de blé', 'Maïzena', 'Bière', 'Sauce tartare', 'Frites surgelées', 'Huile de tournesol'],['1  ', '50 g', '1/2 càs', '5 cl', '1 càs', '150 g', '5 cl'],,,,,,,,,,,,
13,https://jow.fr/recipes/galette-forestiere-7xmx9j2l2rhc03yd0oqv,Galette forestière,2 € et 4 € par portion,5 minutes,10 minutes,0 minutes,357 kcal,['Galette bretonne', 'Jambon blanc', 'Fromage râpé', 'Champignons de Paris (frais)', 'Œuf', 'Échalote'],['1  ', '1 tran.', '2 pinc.', '80 g', '1  ', '1/4  '],,,,,,,,,,,,,,
14,https://jow.fr/recipes/parmentier-de-canard-7xzy77y669og045a0mmg,Parmentier de canard,2 € et 4 € par portion,8 minutes,50 minutes,0 minutes,610 kcal,['Canard (confit)', 'Noisette', 'Échalote', 'Pommes de terre', 'Lait', 'Beurre'],['1/2  ', '10 g', '1/2  ', '200 g', '5 cl', '1 Noisette'],,,,,,,,,,,,,,
15,https://jow.fr/recipes/poulet-au-miel-et-haricots-7y8thdsb2ibk043p00ax,Poulet au miel & haricots,+4 € par portion,4 minutes,13 minutes,0 minutes,329 kcal,['Poulet (escalope)', 'Miel (liquide)', 'Citron jaune', 'Haricot vert (frais)'],['1  ', '1 càs', '1/2  ', '250 g'],,,,,,,,,,,,,,,,,,
16,https://jow.fr/recipes/pancakes-de-courgette-7yb2e0u8em1c040x0kkd,Pancakes de courgette,-2 € par portion,10 minutes,8 minutes,0 minutes,337 kcal,['Courgette', 'Ail', 'Ciboulette', 'Œuf', 'Farine de blé', 'Chapelure', 'Parmesan (morceaux)', 'Salade (Mélange)'],['200 g', '1/4 gou.', '1/10 bou.', '1  ', '1 càs', '1 càs', '20 g', '30 g'],,,,,,,,,,
17,https://jow.fr/recipes/cabillaud-en-croute-de-chorizo-7yp3ltpifdi8044p1ajg,Cabillaud en croûte de chorizo,+4 € par portion,5 minutes,15 minutes,0 minutes,502 kcal,['Cabillaud (frais)', 'Chorizo (tranches)', 'Parmesan (râpé)', 'Chapelure', 'Beurre', 'Salade (Mélange)'],['1  ', '30 g', '30 g', '2 càs', '10 g', '2 poignées'],,,,,,,,,,,,,,
